"time","xS","xI","xV","xR","xC","xF","xJ","date","R_t"
0,99998,2,0,0,0.45,0,0,2020-01-01,3.2986429461165
1,99798.0779862013,2.46205340254921,199.237754942608,0.2222054535804,0.521073337891044,0.685245410803599,4863.76481057971,2020-01-02,2.86670941780403
2,99599.6332788528,2.91194816032587,396.966619649498,0.488153337408368,0.581479542423156,1.4041371660778,10386.1161595419,2020-01-03,2.4998478341574
3,99402.6756227237,3.33113605741315,593.19796821546,0.79527300337927,0.630915998583762,2.13591228574436,16457.216939131,2020-01-04,2.19960436338415
4,99207.2080411589,3.70924761054597,787.943127834424,1.13958339614089,0.670501278783991,2.86654754364793,22972.2128210748,2020-01-05,1.9590062492403
5,99013.2277614932,4.04242748348899,981.213364062958,1.51644696028495,0.70186422726649,3.58784055100923,29840.5799248434,2020-01-06,1.76806881882301
6,98820.727890766,4.33112622618337,1173.01986984783,1.92111315993956,0.726626588448621,4.29574216370618,36988.3289906169,2020-01-07,1.61690515780866
7,98629.6989482255,4.57824208855984,1363.37375863855,2.34905104735125,0.746189522421075,4.98883157312995,44356.675792123,2020-01-08,1.49699781081584
8,98440.1299858976,4.78783120527274,1552.28606064765,2.79612224931833,0.76168554417218,5.66720219963359,51899.5050522148,2020-01-09,1.40147520442216
9,98252.0093193135,4.96430976784445,1739.7677211883,3.25864973025131,0.774000905670558,6.33173628663373,59580.7634213621,2020-01-10,1.32496717023215
10,98065.3249712006,5.11200350160093,1925.8296002638,3.73342503380764,0.783819314595698,6.98366554772687,67372.2094006458,2020-01-11,1.26333510925592
11,97880.0649264037,5.23491821458967,2110.48247286326,4.21768251825992,0.791666014305209,7.62431977345435,75251.6122742403,2020-01-12,1.21340229488661
12,97696.2172701431,5.33664210564621,2293.73702962957,4.70905812138573,0.797945121995654,8.25499143084793,83201.360756943,2020-01-13,1.17272632273035
13,97513.7702570105,5.42032246466791,2475.60387770563,5.20554281872772,0.802969019707998,8.87686897368055,91207.4050437499,2020-01-14,1.13942040635647
14,97332.7123401412,5.48868186999963,2656.0935416499,5.70543633838239,0.806980707043543,9.49100951497018,99258.4564643626,2020-01-15,1.11201767555591
15,97153.0321782632,5.54405342312685,2835.2164643629,6.20730395017158,0.810170539330329,10.0983332362799,107345.381394286,2020-01-16,1.08936966941988
16,96974.7186310391,5.58842340144732,3012.98300799456,6.70993756410286,0.812688696238978,10.6996291817088,115460.740178175,2020-01-17,1.07057078003426
17,96797.7607487161,5.62347497295162,3189.40345481913,7.21232149105866,0.814654476860704,11.2955664714974,123598.434074806,2020-01-18,1.05490195799644
18,96622.1477594891,5.65062968765128,3364.48800807263,7.71360274978124,0.816163258835309,11.8867075728983,131753.432877503,2020-01-19,1.04178858158305
19,96447.8690564525,5.67108521986687,3538.24679275274,8.21306557400269,0.817291742043883,12.4735217928724,139921.563112635,2020-01-20,1.03076871951625
20,96274.9141851163,5.68584882072908,3710.6898563834,8.71010967846624,0.818101929816428,13.0563980439023,148099.342046406,2020-01-21,1.0214690390104
21,96103.2728319563,5.69576647334418,3881.82716974735,9.20423182181293,0.818644176390024,13.635656442713,156283.846606232,2020-01-22,1.01358636646836
22,95932.9348141717,5.70154801466959,4051.66862758994,9.69501022256585,0.818959539115741,14.2115585877403,164472.609134736,2020-01-23,1.00687345626074
23,95763.8900706691,5.70378861047868,4220.22404929779,10.1820914214499,0.8190816089701,14.7843165169663,172663.533936806,2020-01-24,1.00112791694309
24,95596.1286542074,5.70298700868505,4387.5031795552,10.6651792275939,0.819037946330658,15.3541004277395,180854.83006989,2020-01-25,0.996183526614408
25,95429.6407245958,5.6995609901712,4553.51568898133,11.1440254314908,0.818851215512141,15.921045276569,189044.956920855,2020-01-26,0.991903371724284
26,95264.4165428303,5.69386040740371,4718.27117475051,11.6184220106605,0.818540087443839,16.4852563886353,197232.57992065,2020-01-27,0.988174389553226
27,95100.4464660457,5.6861781622792,4881.77916119757,12.0881945932218,0.818119962398418,17.046814205068,205416.534349853,2020-01-28,0.984903000253693
28,94937.720943176,5.67675943298953,5044.04910041032,12.5531969794586,0.817603551943799,17.6057782874636,213595.795640314,2020-01-29,0.982011591361483
29,94776.2305112173,5.66580941908817,5205.09037281042,13.0133065519421,0.81700134993334,18.162190687452,221769.454920706,2020-01-30,0.97943567425479
30,94615.9657920074,5.65349983632479,5364.912287724,13.4684204310822,0.816322015422751,18.7160787765209,229936.698815642,2020-01-31,0.977121573920311
31,94456.9174894412,5.63997435903019,5523.52408394317,13.9184522555158,0.815572685231373,19.2674576189663,238096.792709782,2020-02-01,0.975024544658292
