"time","xS","xI","xV","xR","xC","xF","xJ","R_t","date"
0,99998,2,0,0,0.00399205,0,0,4.77887214333594,2020-01-01
1,99797.6043862401,2.91626809158824,199.237319310173,0.242026358169457,0.00581567036112573,1.15934035420491,0.00249782484971561,4.76068556116683,2020-01-02
2,99598.1995468045,4.24367210830144,396.964234077038,0.592547010155473,0.00845170032973126,2.8408068990777,0.00510880223197159,4.73799384972356,2020-01-03
3,99399.5498145204,6.15948182226613,593.190764682797,1.09993897457515,0.0122440221758199,5.27116460789503,0.00788338294351165,4.70918065541948,2020-01-04
4,99201.3297002565,8.91092725628983,787.926222090707,1.83315039651569,0.0176653674372432,8.76820446636716,0.010893480890893,4.67203193757937,2020-01-05
5,99003.0947618277,12.8367339765554,981.178955880642,2.88954831497393,0.0253496660415062,13.7703333084962,0.0142406696437432,4.62359159197434,2020-01-06
6,98804.2495913024,18.3894634716083,1172.95602628723,4.40491893867528,0.0361169599983479,20.8691967870046,0.0180666358597173,4.56005629420766,2020-01-07
7,98604.0193134464,26.1524710538853,1363.26280292421,6.56541257544312,0.0509730629034627,30.8389575653169,0.0225656838339701,4.47679399017572,2020-01-08
8,98401.4373581169,36.8397720208069,1552.10252068552,9.62034917677509,0.0710551940087705,44.6494475635636,0.0279981809338925,4.36862017595759,2020-01-09
9,98195.3697504444,51.261045642869,1739.47587102798,13.8933328846425,0.097488315499251,63.4428689664893,0.0347023184275258,4.23049284823546,2020-01-10
10,97984.6000017426,70.2320169513571,1925.38076903931,19.787212266655,0.131129644441886,88.4497874175339,0.0430995899708743,4.05872145433161,2020-01-11
11,97767.9897263992,94.4209170843411,2109.81248485268,27.776871663758,0.172228765449054,120.829025130741,0.0536877930291753,3.85254598269293,2020-01-12
12,97544.6998004277,124.151603998452,2292.76430644125,38.3842891325712,0.220115518865449,161.446342353096,0.0670158262300111,3.61554775239187,2020-01-13
13,97314.4110216427,159.225746400002,2474.22875832933,52.1344736278665,0.273092753910221,210.65276340786,0.0836388508438953,3.35606599084438,2020-01-14
14,97077.4528069024,198.849440715816,2654.1991616005,69.4985907811838,0.328665504819932,268.154089247484,0.104060266828999,2.70027908441089,2020-01-15
15,96843.423504424,233.450062697543,2832.69166756414,90.4347653142085,0.373688468305727,324.366569139506,0.130514954801024,2.50792962364053,2020-01-16
